City_ID,City,Country,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (Inches),Snow (Inches),Date
59,Chulym,RU,55.1,80.96,59.99,59.99,94,100,18.07,heavy intensity rain,7.01,0.0,2020-05-29 15:51:25
60,Bluff,NZ,-46.6,168.33,51.71,51.71,84,27,11.92,scattered clouds,0.0,0.0,2020-05-29 15:51:25
61,Kinshasa,CD,-4.32,15.32,82.4,82.4,74,40,3.36,scattered clouds,0.0,0.0,2020-05-29 15:49:43
62,Mar Del Plata,AR,-38.0,-57.56,63.0,57.99,87,90,6.93,overcast clouds,0.0,0.0,2020-05-29 15:51:26
63,Mataura,NZ,-46.19,168.86,41.13,41.13,94,17,2.21,few clouds,0.0,0.0,2020-05-29 15:51:26
64,Lavrentiya,RU,65.58,-171.0,32.88,32.88,94,32,2.73,scattered clouds,0.0,0.0,2020-05-29 15:51:26
65,Angoche,MZ,-16.23,39.91,75.83,75.83,86,2,8.28,clear sky,0.0,0.0,2020-05-29 15:48:18
66,Butaritari,KI,3.07,172.79,82.6,82.6,74,5,7.87,moderate rain,1.37,0.0,2020-05-29 15:51:26
67,Moranbah,AU,-22.0,148.05,57.25,57.25,65,0,9.17,clear sky,0.0,0.0,2020-05-29 15:51:26
68,Leua,SK,48.22,18.61,66.99,62.6,45,40,8.05,scattered clouds,0.0,0.0,2020-05-29 15:51:27
69,Grand-Lahou,CI,5.14,-5.02,84.15,84.15,74,34,8.9,scattered clouds,0.0,0.0,2020-05-29 15:51:27
70,Coihaique,CL,-45.58,-72.07,30.2,30.2,100,90,0.56,fog,0.0,0.0,2020-05-29 15:48:27
71,San Cristobal,VE,7.77,-72.22,91.4,91.4,41,40,23.04,scattered clouds,0.0,0.0,2020-05-29 15:51:27
72,Chokurdakh,RU,70.63,147.92,45.14,45.14,57,34,13.38,scattered clouds,0.0,0.0,2020-05-29 15:51:27
73,Acari,PE,-15.43,-74.62,76.69,76.69,48,1,7.94,clear sky,0.0,0.0,2020-05-29 15:51:27
74,Pokosnoye,RU,55.53,101.05,39.94,39.94,86,67,2.73,broken clouds,0.0,0.0,2020-05-29 15:51:27
75,Caibarien,CU,22.52,-79.47,86.0,86.0,66,75,11.41,broken clouds,0.0,0.0,2020-05-29 15:51:27
