City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
406,Gigmoto,PH,80.37,few clouds,13.78,124.39,Cj's Travellers Inn
407,Faya,SA,86.0,scattered clouds,18.39,42.45,مقبرة ال مجمل
408,Tooele,US,80.6,clear sky,40.53,-112.3,Holiday Inn Express & Suites Tooele
411,Point Pleasant,US,82.0,overcast clouds,40.08,-74.07,Point Pleasant Manor
412,Bud,US,72.0,overcast clouds,39.45,-86.18,Madsion Scouts Camp
414,Guanica,PR,88.0,overcast clouds,17.97,-66.91,Copamarina Beach Resort & Spa
415,Banos,EC,77.0,broken clouds,-1.4,-78.42,Samari Spa Resort
416,Nishihara,JP,77.0,broken clouds,26.18,127.76,Minshuku Agaihama
418,Hobyo,SO,82.24,overcast clouds,5.35,48.53,Osmani Hotel
419,Bermeo,ES,82.0,clear sky,43.42,-2.72,Eco-Hotel Mundaka
420,Fairmont,US,78.01,overcast clouds,39.49,-80.14,Clarion Inn
423,Gainesville,US,88.0,clear sky,29.65,-82.32,Wyndham Garden Gainesville
425,Linhares,BR,75.29,broken clouds,-19.39,-40.07,Hotel Conceição
427,Westport,US,71.01,overcast clouds,41.14,-73.36,The Westport Inn
428,Rio Brilhante,BR,77.14,clear sky,-21.8,-54.55,Hotel Cattani
429,Anamur,TR,73.4,few clouds,36.08,32.84,Luna Piena Beach Hotel
430,Ler,SS,89.13,overcast clouds,8.3,30.14,
431,Cabo San Lucas,MX,80.01,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
433,Mahe,IN,77.0,mist,11.7,75.53,Hotel French Avenue
434,Ewa Beach,US,75.2,clear sky,21.32,-158.01,Parkside By Gentry
435,Sosua,DO,89.01,few clouds,19.77,-70.52,Piergiorgio Palace Hotel
436,Kiunga,PG,74.3,overcast clouds,-6.12,141.29,Airport Lodge Kiunga
437,Porto Novo,BJ,86.0,few clouds,6.5,2.6,Tour Eiffel Hotel Benin
439,Mahibadhoo,MV,81.7,overcast clouds,3.78,72.97,Omadhoo Inn
441,Majene,ID,80.42,overcast clouds,-3.54,118.97,Kost Putri RABBANI
442,Bucerias,MX,81.0,overcast clouds,20.75,-105.33,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
443,Stuttgart,DE,71.01,few clouds,48.78,9.18,Hotel Motel One Stuttgart-Mitte
451,El Tigre,VE,85.82,overcast clouds,8.89,-64.25,Hotel Santa Cruz
452,Biak,ID,78.91,overcast clouds,-0.91,122.88,Kost Ariz
454,Herat,AF,84.2,clear sky,34.5,62.0,
456,Obo,CF,77.58,overcast clouds,5.4,26.49,
458,Cosala,MX,78.01,scattered clouds,24.41,-106.69,Letras Cosala
